trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
magellan_quenchgun_trail,magellan_quenchgun_shot,projectile_trail_standard,10,0,0.15,0.75,9,15,"[235,235,255]","[85,85,100]",0.7,400,400,10,0,1,FALSE,TRUE,TRUE,10,30,0.2,0,0,100,true,false
magellan_quenchgun_core,magellan_quenchgun_shot,projectile_trail_cel,10,0,0.3,0.6,3,1.5,"[235,235,255]","[85,85,100]",1,400,400,10,0,1,FALSE,TRUE,TRUE,20,60,0.4,0,0,200,true,false
magellan_quenchgun_ring,magellan_quenchgun_shot,projectile_trail_ring,10,0,0.1,0.3,12,20,"[235,235,255]","[85,85,100]",0.85,40,800,5,0,1,FALSE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_quenchcannon_trail,magellan_quenchcannon_shot,projectile_trail_standard,10,0,0.2,0.8,15,25,"[235,235,255]","[85,85,100]",0.7,400,400,10,0,1,FALSE,TRUE,TRUE,10,30,0.2,0,0,100,true,false
magellan_quenchcannon_core,magellan_quenchcannon_shot,projectile_trail_cel,10,0,0.4,0.8,5,2.5,"[235,235,255]","[85,85,100]",1,400,400,10,0,1,FALSE,TRUE,TRUE,20,60,0.4,0,0,200,true,false
magellan_quenchcannon_ring,magellan_quenchcannon_shot,projectile_trail_ring,10,0,0.12,0.36,18,30,"[235,235,255]","[85,85,100]",0.85,40,1120,5,0,1,FALSE,TRUE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
magellan_solenoidgun_trail,magellan_lilsolenoid_shot,projectile_trail_standard,10,0,0.1,0.3,6,4.8,"[135,135,155]","[85,85,100]",0.7,400,275,10,0,1,FALSE,TRUE,TRUE,10,30,0.2,0,0,100,true,false
magellan_solenoidgun_ring,magellan_lilsolenoid_shot,projectile_trail_ring,10,0,0.05,0.15,9,12,"[135,135,155]","[85,85,100]",0.85,24,480,15,0,1,FALSE,TRUE,TRUE,0,0,0,0,0,0,false,false
magellan_solenoidbattery_trail,magellan_bigsolenoid_shot,projectile_trail_standard,10,0,0.15,0.45,9,7,"[135,135,155]","[85,85,100]",0.7,400,250,10,0,1,FALSE,TRUE,TRUE,10,30,0.2,0,0,100,true,false
