id,type,frame,magnitude,map,path
dcp_DME_AMM,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_AMM_material.png
dcp_DME_AMMblister,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_AMMblister_material.png
dcp_DME_breakerLRM_stage2,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_breakerLRM_stage2_material.png
dcp_DME_calliopeLRM_dumb,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_calliope_stage2_material.png
dcp_DME_calliopeLRM_smart,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_calliope_stage2_material.png
dcp_DME_chasseurLRM,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_chasseur_material.png
dcp_DME_cluster_bomb,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_cluster_bomb_material.png
dcp_DME_gravmissile,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_gravmissile_material.png
dcp_DME_hedgehogbomb,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_proxbomb_material.png
dcp_DME_hellhound,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_hellhound_material.png
dcp_DME_lens_hdem,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_lens_hdem_material.png
"#dcp_DME_lightbomb",missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_lightbomb_material.png
dcp_DME_marteau_esm,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_marteau_material.png
dcp_DME_minelayer_mine,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_mine_material.png
dcp_DME_mirvtorpedo,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_mirvtorpedo_material.png
dcp_DME_multiAMM,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_multiamm_material.png
dcp_DME_perforator_rocket,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_perforator_material.png
dcp_DME_plasrocket,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_plasrocket_material.png
dcp_DME_proxbomb_proj,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_proxbomb_sm_material.png
dcp_DME_rocketbomb,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_electronrocket_material.png
dcp_DME_ruptureasm_ftr,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_ruptureasm_ftr_material.png
dcp_DME_ruptureasm,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_ruptureasm_material.png
dcp_DME_slapperSRM,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_slapper_material.png
dcp_DME_jackalblade_lg,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_slicerblade_lg_material.png
dcp_DME_jackalblade,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_slicerblade_material.png
dcp_DME_TBM,missile,,,material,graphics/DCP/shaders/material/missiles/dcp_DME_TBM_material.png
,,,,,
dcp_DME_aigrette_cockpit,hardpoint,,,material,graphics/DCP/shaders/material/ships/dcp_DME_aigrette_cockpitpod_material.png
dcp_DME_aigrette_cockpit,turret,,,material,graphics/DCP/shaders/material/ships/dcp_DME_aigrette_cockpitpod_material.png
dcp_DME_arcite,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_arcite_material.png
dcp_DME_baikal,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_baikal_material.png
dcp_DME_baikal_brone,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_baikal_material.png
dcp_DME_bantam,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bantam_material.png
dcp_DME_bbengine1,turret,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bbengine_01_material.png
dcp_DME_bbengine2,turret,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bbengine_02_material.png
dcp_DME_bbLRMmodule,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bbLRMmodule_material.png
dcp_DME_bbminerunner,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bbminerunner_material.png
dcp_DME_bbmissilemodule,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bbmissilemodule_material.png
dcp_DME_bbpdmodule,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bbpdmodule_material.png
dcp_DME_bbsuperheavy,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bbsuperheavy_material.png
dcp_DME_bbsuperheavy_bow,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bbsuperheavy_bow_material.png
dcp_DME_shieldplate,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_shieldplate_material.png
dcp_DME_blackhand,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_blackhand_material.png
dcp_DME_blacklancer,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_blacklancer_material.png
dcp_DME_bladewood,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bladewood_material.png
dcp_DME_borzoi,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_borzoi_material.png
dcp_DME_bouclier,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bouclier_material.png
dcp_DME_bronev_plate_bow,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bronev_plate_bow_material.png
dcp_DME_bronev_plate_left,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bronev_plate_left_material.png
dcp_DME_bronev_plate_right,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bronev_plate_right_material.png
dcp_DME_bronev_plate_lrear,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bronev_plate_lrear_material.png
dcp_DME_bronev_plate_rrear,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_bronev_plate_rrear_material.png
dcp_DME_burya,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_burya_material.png
dcp_DME_centaur,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_centaur_material.png
dcp_DME_crasher,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_crasher_material.png
dcp_DME_curse,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_curse_material.png
dcp_DME_curse_proto,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_curse_proto_material.png
dcp_DME_damselfly,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_damselfly_material.png
dcp_DME_dard,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_dard_material.png
dcp_DME_defstation,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_stationcore_small_material.png
dcp_DME_demon,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_demon_material.png
dcp_DME_desertersupply_lg,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_desertersupply_lg_material.png
dcp_DME_desertersupply_sm,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_desertersupply_sm_material.png
dcp_DME_devilray,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_devilray_material.png
dcp_DME_ebeam_drone,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_ebeam_drone_material.png
dcp_DME_egret,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_egret_material.png
dcp_DME_feeder,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_feeder_material.png
dcp_DME_fighter_platform,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_fighter_module_material.png
dcp_DME_firebeetle,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_firebeetle_material.png
dcp_DME_firespray,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_firespray_material.png
dcp_DME_flare,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_flare_material.png
dcp_DME_flatmouse,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_flatmouse_material.png
dcp_DME_fletcher,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_fletcher_material.png
dcp_DME_focuser,ship,,,material,graphics/DCP/shaders/material/ships/dcp_DME_focuser_material.png
