id,type,text1,text2,text3,notes
#DME,,,,,
,,,,,
dcp_DME_arcite,SHIP,"An asymmetric drone bomber, firing salvoes of light missiles to overwhelm point defenses and clear the way for heavy strike craft. A smart-flare pack makes it marginally more survivable.",,,
dcp_DME_baikal,SHIP,"This heavy multi-role cruiser is an aging but flexible design, capable of handing nearly any requirement from convoy escort to fleet command ship to aggressive salvage operations in disputed zones. Once considered hopelessly obsolete, the current Block VI update features an all-new shield generator and improved high-output thrusters.",,,
dcp_DME_baikal_brone,SHIP,"This heavy multi-role cruiser is an aging but flexible design, capable of handing nearly any requirement from convoy escort to fleet command ship to aggressive salvage operations in disputed zones. The addition of a 'Brone V' composite armor package gives this older model improved staying power, at the cost of even worse handling, as well as an integral salvage gantry for recovery operations.",,,
dcp_DME_bantam,SHIP,"A compact and inexpensive drone fighter, armed with a gimballed electron bolter and protected by lightweight microbeam PD.",,,
dcp_DME_bbminerunner,SHIP,"An aggressive support frigate, designed to deliver minelaying and drone capabilities on a budget. Useful in small skirmishes, and a powerful addition to any frigate cloud.",,,
dcp_DME_bbsuperheavy,SHIP,"""...whatever it is, it doesn't look friendly. Did you see the size of those emplacements? Hey, it moved! I think it's starting to-""",- Combat recorder fragment,,
dcp_DME_blackhand,SHIP,"A densely-armored, well-shielded defensive frigate, poorly-armed but an effective support platform for three electron beam drones.",,,
dcp_DME_blacklancer,SHIP,"An AI-controlled support cruiser, intended to form the backbone of Blade Breaker forces. It lacks many of the core features of a crewed vessel, and devotes the saved internal space to greater firepower and drive capacity.",,,
dcp_DME_bladewood,SHIP,"A prototype fleet mothership, packing four fighter bays and a respectable level of support firepower into a durable armored hull. Massive internal flux sinks power both fighter autoforges and an advanced targeting core, resulting in a hybrid battlecarrier that can provide both devastating fire and fighter support from extreme ranges.",,,
dcp_DME_borzoi,SHIP,"A tough, agile phase ship, employing a high-pressure nodal phase cloak with extreme time-dilation. Many commanders consider them invaluable for reconnaisance and pursuit duty, but shy away from sending them into heavier combat.",,,
dcp_DME_bouclier,SHIP,"Durable, flexible, and increasingly rare since the initial production run finished, these heavily armored courier shuttles are nevetheless still seen around the sector from time to time.",,,
dcp_DME_burya,SHIP,"An unremarkable missile frigate, notable mostly for carrying outsized weapons on a small frame. Mainly used as a support craft, it finds frequent employment in tech-mining fleets as a convoy guard.",,,
dcp_DME_centaur,SHIP,"This chunky armed transport is the result of a long and exacting development process, aimed at designing the ultimate survivable cargo platform. Well armed and heavily shielded, the Lodestar is an excellent choice for shipping in high-intensity combat zones.",,,
dcp_DME_crasher,SHIP,"A unique and powerful artillery ship, equipped with a pair of devastating energy mortars. Relatively little of the hull concept has been developed further, but the weapons it mounts contributed to other, newer artillery systems.",,,
dcp_DME_curse,SHIP,"An otherwise unremarkable carrier... save for the advanced stealth coating applied over unusually heavy armor. The stealth-carrier concept never panned out for the sector navies, but it's perfectly suited to ambushes and terror strikes.",,,
dcp_DME_damselfly,SHIP,"Deploying a salvo of Perforator rockets, these tough bombers can inflict horrifying damage to enemy shipping from stand-off ranges.",,,
dcp_DME_dard,SHIP,"A cheap, lightweight drone fighter. Low-power weaponry and a small internal missile bay equips the Dard ideally for interception duty.

Atmospheric-capable drones have been a staple of land warfare forever; the Dard, adapted from these hardy and proven designs, goes a step further to become a highly capable swarm fighter.",,,
dcp_DME_demon,SHIP,"A simple, no-frills phase ship, developed from the test rig for an unusual hexagonal phase coil concept. It's a testament to how well the concept proved out that it's nearly the equal of dedicated close strike designs.",,,
dcp_DME_desertersupply_sm,SHIP,"An uncomplicated and efficient small cargo-handling platform, armed only with flares and a unique multi-beam emitter system.",,,
dcp_DME_desertersupply_lg,SHIP,"An uncomplicated and efficient medium cargo-handling platform, armed with flares, an interceptor bay, and a unique multi-beam emitter system.",,,
dcp_DME_devilray,SHIP,"A fearsome phase destroyer design, optimized for hit-and-run guerilla warfare. While no more of these ships have been produced in some time and maintenance requirements are steep, a rugged, modular design allows nonfunctional ships to be quickly cannibalized to keep the rest flying.",,,
dcp_DME_egret,SHIP,"The Aigrette is a dedicated space-superiority design that marries a durable chassis with advanced weapons to create an aggressive, predatory fighter capable of wiping the floor with other small craft.",,,
dcp_DME_feeder,SHIP,"Small mercenary groups often have a need for bare-bones carrier support, and the Feeder conversion of the Carabao hull has been a runaway success. It won't win any style awards, but budget-conscious United Securities commanders praise the Feeder's ability to repair and replenish fighters from a single, cramped internal bay.",,,
dcp_DME_firebeetle,SHIP,"A tough shielded fighter prototype, passed over in favor of more effective designs. A generous mix of weapons make it a fearsome brawler.",,,
dcp_DME_firespray,SHIP,"A durable light bomber, equipped with a small rack of plasma rockets for disabling weapons and engines. Repeat passes by multiple wings can leave even the hardiest ships crippled and drifting.",,,
dcp_DME_flare,SHIP,"An unremarkable heavy fighter design, employing missiles and an autogun to sweep down enemy fighters and pressure shielding. Keen-eyed observers will note their excellent handling.",,,
dcp_DME_flatmouse,SHIP,"A solid armored slab of a frigate, bristling with weapons and capable of providing extremely effective fire support to the marines it carries.",,,
dcp_DME_fletcher,SHIP,"An unremarkable light bomber, deploying a unique energy torpedo that's equally effective against both shields and armor.",,,
dcp_DME_focuser,SHIP,"A menacing bomber, equipped with a single Lens dimensional-implosion warhead and a powerful shield. Advanced pulse-jet drives allow for swift attack runs.",,,
dcp_DME_grand_union,SHIP,"Designed as much to project a public image of nobility and trust as for durability and firepower, these heavyweight destroyers were built to order for United Securities. Fleet commanders from the major naval forces look down on the lack of missile armament, though, and the frontal shield is a liability in large engagements.",,,
dcp_DME_guardian_turret,SHIP,"""...not large, at least, not the way we measure against stations - but it outmatches that tech-mining fleet, that's for sure... ...If anyone out there can hear me, we need backup! Any backup!""",- Combat recorder fragment,,
dcp_DME_gunpod,SHIP,"A powerful Blade Breaker turret drone with a heavy shield, a spinal Electron Bolt Projector, and generous defensive weaponry.",,,
dcp_DME_harridan,SHIP,"A fast, maneuverable fighter-bomber with EMP weaponry and a heavy missile armament. Enemy pilots are advised to treat Harridans with respect; short of heavy shielding, very few enemy fighters can withstand the missile barrage for long.",,,
dcp_DME_hellion,SHIP,"A brutal heavy fighter, armed with twin autocannon and fitted with a miniature phase cloak. Each fighter carries a point-defense beam as well, making them nearly immune to anti-fighter missiles.",,,
dcp_DME_hummingbird,SHIP,"A cheap, nimble interceptor. What it lacks in survivability or firepower it makes up for in agility, speed, and above all affordability.

Skeptical observers contend that even a good interceptor is a soft-skinned deathtrap, but the often desperate recruits who pilot these craft argue that even the toughest fighter gets hit, unless it can be where the shot isn't.",,,
dcp_DME_icax,SHIP,"An outgrowth of skipspace propulsion research, the Icax heavy fighter forgoes ordinary phase cloaking for high maneuverability and teleportation, producing a unique design optimized for suppression attacks.",,,
dcp_DME_ifrit,SHIP,"A failed prototype cruiser, intended as the core of a small, aggressive task force. Designed around reliable, previous-generation technologies and a maximally flexible weapons loadout, it failed to compete with the more radical Sparrowhawk and the design was shelved indefinitely.",,,
dcp_DME_imp,SHIP,"Derived from civilian racing drones, this daggerlike small craft is deployed en masse to overwhelm enemies. While it lacks the survivability of crewed frigates, it can be cheaply produced in volume.",,,
dcp_DME_iridium,SHIP,"A rough-and-tumble assault fighter, armed with heavy energy weapons and equipped with a robust shield generator.",,,
dcp_DME_jeannedarc,SHIP,"A heavy fleet carrier, designed to dominate the battlespace with high-capacity flight decks, top-of-the-line fire control systems and an impressive array of offensive and defensive weapons. The expense of constructing and maintaining such an enormous ship has, so far, kept them relatively rare.",,,
dcp_DME_kormoran,SHIP,"A new-model heavy cruiser design, oriented around high tactical speed and incredible frontal firepower. Careful layout of the secondary and tertiary batteries makes them difficult to flank.",,,
dcp_DME_leyte,SHIP,"While small carriers are typically conversions from freight craft, the d'Erlon was designed for escort duty from the ground up. Deficient missile-handling systems bar the type from mounting LRMs, but most captains prefer to take the d'Erlon into the thick of battle.",,,
dcp_DME_lightbomber,SHIP,"A large, armored bomber, deploying a heavy electron torpedo that's equally effective against both shields and armor.",,,
dcp_DME_lycosid,SHIP,"A nasty little interceptor designed to shred anything that gets close. A plasma decoy system distracts anti-fighter weaponry, allowing Lycosids to loiter around a target for extended periods.",,,
dcp_DME_maskirovka,SHIP,"A heavy phase destroyer, built around the nodal phase cloak and laid out to optimize short-range strike firepower. High top speed and superior handling make it especially valuable for pursuits and commerce raiding.",,,
dcp_DME_mindanao,SHIP,"Cut from the same cloth as the innovative Heron class, a more versatile slot layout and even greater deck capacity vaults this design into the role of carrier flagship in Dassault-Mikoyan fleets.",,,
