trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
dcp_4cmrailgun_trail,dcp_4cmrailgunshot,projectile_trail_rail,10,0,0.4,0.4,10,5,"[75,125,200]","[15,75,155]",0.75,300,-180,5,0,1,TRUE,FALSE,TRUE,5,15,0.12,0,0,75,true,false
dcp_4cmrailgun_core,dcp_4cmrailgunshot,projectile_trail_cel,10,0,0.6,0.2,3,1.5,"[75,125,255]","[15,75,155]",1,300,-180,5,0,1,FALSE,FALSE,TRUE,10,30,0.2,0,25,100,true,false
dcp_6cmrailgun_trail,dcp_6cmrailgunshot,projectile_trail_rail,10,0,0.5,0.5,12,6,"[75,125,200]","[15,75,155]",0.75,300,-180,5,0,1,TRUE,FALSE,TRUE,5,15,0.12,0,0,75,true,false
dcp_6cmrailgun_core,dcp_6cmrailgunshot,projectile_trail_cel,10,0,0.7,0.3,4,2,"[75,125,255]","[15,75,155]",1,300,-180,5,0,1,FALSE,FALSE,TRUE,10,30,0.2,0,25,100,true,false
dcp_9cmrailgun_trail,dcp_9cmrailgunshot,projectile_trail_rail,10,0,0.5,0.5,13.5,6.75,"[75,125,200]","[15,75,155]",0.75,320,-200,5,0,1,TRUE,FALSE,TRUE,5,15,0.12,0,0,75,true,false
dcp_9cmrailgun_core,dcp_9cmrailgunshot,projectile_trail_cel,10,0,0.7,0.3,4.5,2.25,"[75,125,255]","[15,75,155]",1,320,-200,5,0,1,FALSE,FALSE,TRUE,10,30,0.2,0,25,100,true,false
dcp_12cmrailgun_trail,dcp_12cmrailgunshot,projectile_trail_rail,10,0,0.5,0.5,15,7.5,"[75,125,200]","[15,75,155]",0.75,310,-180,5,0,1,TRUE,FALSE,TRUE,5,15,0.12,0,0,75,true,false
dcp_12cmrailgun_core,dcp_12cmrailgunshot,projectile_trail_cel,10,0,0.7,0.3,5,2.5,"[75,125,255]","[15,75,155]",1,310,-180,5,0,1,FALSE,FALSE,TRUE,10,30,0.2,0,25,100,true,false
dcp_20cmrailgun_trail,dcp_20cmrailgunshot,projectile_trail_rail,10,0,0.75,0.75,18,9,"[75,125,200]","[15,75,155]",0.75,315,-180,5,0,1,TRUE,FALSE,TRUE,5,15,0.12,0,0,75,true,false
dcp_20cmrailgun_core,dcp_20cmrailgunshot,projectile_trail_cel,10,0,1,0.5,6,3,"[75,125,255]","[15,75,155]",1,315,-180,5,0,1,FALSE,FALSE,TRUE,10,30,0.2,0,25,100,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcp_NTKcannon_trail,dcp_NTKcannon_shot,base_trail_fuzzy,10,0,0.1,0.15,5,2.5,"[150,75,0]","[75,75,75]",0.6,400,400,5,0,1,FALSE,FALSE,TRUE,10,30,0.2,0,0,100,true,false
dcp_whdcper_trail,dcp_whdcper_shot,base_trail_fuzzy,10,0,0.1,0.2,4,2,"[150,75,0]","[75,75,75]",0.8,400,400,5,0,1,FALSE,FALSE,TRUE,10,30,0.2,0,0,100,true,false
dcp_howler_trail,dcp_howler_shot,base_trail_fuzzy,10,0,0.15,0.2,7,3.5,"[150,75,0]","[75,75,75]",0.75,400,300,5,0,1,FALSE,FALSE,TRUE,10,30,0.2,0,0,100,true,false
dcp_hellspear_trail,dcp_hellspear_shot,base_trail_fuzzy,10,0,0.15,0.75,9,4.5,"[150,75,0]","[75,75,75]",0.8,400,240,5,0,1,FALSE,FALSE,TRUE,10,30,0.2,0,0,100,true,false
dcp_hellspear_core,dcp_hellspear_shot,projectile_trail_cel,10,0,0.3,0.6,3,3,"[150,75,0]","[75,75,75]",1,400,240,5,0,1,FALSE,FALSE,TRUE,20,60,0.4,0,0,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
