name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
"#Drones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Targeting Drone,dcp_magellan_targdrone,,dcp_magellan,,,30,10,600,,150,,,100,150,150,120,240,5,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Flak,dcp_magellan_flakdrone,,dcp_magellan,,,750,150,400,,100,,,240,300,300,160,300,5,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,4
Missile,dcp_magellan_missiledrone,,dcp_magellan,,,750,150,400,,100,,,240,300,300,160,300,5,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Fighters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chela,dcp_magellan_interceptor,,dcp_magellan,,,200,25,500,,100,0,,325,450,350,180,360,9,NONE,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,101
Jitte,dcp_magellan_hvyfighter,,dcp_magellan,flarelauncher_fighter,,400,75,300,,75,0,,325,450,270,120,240,30,OMNI,,160,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,102
Lochaber,dcp_magellan_bomber,,dcp_magellan,,,800,125,500,,100,0,,180,225,200,60,120,40,NONE,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,103
Bastardsword,dcp_magellan_corvette,,dcp_magellan,,,1000,200,500,,150,0,,140,300,270,105,180,56,OMNI,,210,0,1,,,4,4,,,,,,,,,,,,,,,,,,,,,,0,,,,104
