name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
"#Kinetic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER Light Autogun,dcp_magellan_sniperautogun,0,0.3,250,800,,30,,5,25,3,,,,KINETIC,30,,,0.4,1,,1,5,2,7,,900,,,30,,,,"kinetic4, dcp_magellan, dcp_magellan_adv_bp",,dcp_magellan,,Fire Support,,,,,,,,,,1.1
Quad Autogun,dcp_magellan_smgatling,0,,400,600,,40,,5,45,5,,,,KINETIC,35,,,0.25,4,0.25,1,9,2,15,,1000,,,30,,,,"kinetic6, dcp_magellan, dcp_magellan_core_bp",,dcp_magellan,,Anti Shield,,,,,,,,,,1.1
Cluster Autocannon,dcp_magellan_medgatling,1,,1200,1000,,300,,10,25,10,,,,KINETIC,300,,,2.4,1,,1,5,1,15,,900,,,100,,,,"kinetic11, dcp_magellan, dcp_magellan_core_bp",,dcp_magellan,,Anti Shield,,,,Spread Pattern,Fires a tight cluster of between nine and twelve %s damage kinetic fragments.,30,,,,1.2
Auto Shotgun Sub,dcp_magellan_autoshotgun_sub,3,,0,275,,30,,5,0,0,,,,KINETIC,300,,,1,,,,,,,,300,,,,,,SYSTEM,,,,,,,,,,,,,,,1.5
Mag Driver,dcp_magellan_solenoidgun,3,0.5,900,800,,200,,10,20,9,,,,KINETIC,240,,,2,1,,1,4,1,10,,750,,,180,,,,"kinetic8, dcp_magellan, rare_bp, dcp_magellan_blackcollar, dcp_magellan_startiger, hist2t",,dcp_magellan,,Fire Support,,,,,Hits to armor or hull have a %s chance of spalling internally for %s extra %s damage.,25% | 50-100 | Fragmentation,,,,1.5
Solenoid Quench Gun,dcp_magellan_quenchgun,2,0.5,2000,800,,300,,20,15,12,,,,KINETIC,360,,,2,1,,1,4,1,15,,1500,,,300,,,,"kinetic14, dcp_magellan, dcp_magellan_adv_bp, dcp_magellan_blackcollar, hist3t",,dcp_magellan,,Anti Shield,,,,,Hypervelocity projectiles improve the chances of a hit on fast or distant targets. Hits to armor or hull have a %s chance of spalling internally for %s extra %s damage.,25% | 150-200 | Fragmentation,,,,1.5
Mag Driver Battery,dcp_magellan_solenoidbattery,3,0.7,6800,1000,,300,,30,12,24,,,,KINETIC,400,,,1.85,3,0.2,1,4,1,7,,700,,,400,,,RESET_BARREL_INDEX_ON_BURST,"kinetic18, dcp_magellan, rare_bp, dcp_magellan_startiger",,dcp_magellan,,Fire Support,,,,,Hits to armor or hull have a %s chance of spalling internally for %s extra %s damage.,25% | 150-200 | Fragmentation,,,,1.5
Solenoid Quench Cannon,dcp_magellan_quenchcannon,3,,10800,1000,,900,,50,15,28,,,,KINETIC,1200,,,3,1,,0,2,1,10,,2000,,,900,,,SYSTEM,"kinetic24, no_sell",,dcp_magellan,,General,,,,,Hypervelocity projectiles improve the chances of a hit on fast or distant targets. Hits to armor or hull have a %s chance of spalling internally for %s extra %s damage.,25% | 300-450 | Fragmentation,,,,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Frag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonesaw Cannon,dcp_magellan_bonesaw,0,,300,600,,200,,0,75,5,,,,FRAGMENTATION,50,,,0.5,1,,0,3,1,15,,900,,,50,,,,"he6, dcp_magellan, dcp_magellan_core_bp, dcp_magellan_theherd",,dcp_magellan,,General,,,,,,,,,,1.3
Bonecracker Riot Gun,dcp_magellan_bonecracker,1,0.5,900,450,,225,,0,30,6,4,0.6667,1,FRAGMENTATION,75,,,0.75,1,,1,5,1,5,,650,,,100,,,"PD, PD_ALSO","he9, dcp_magellan, dcp_magellan_adv_bp",,dcp_magellan,,Point Defense,,,,Spread Pattern,Fires a single %s damage %s core and six %s damage %s submunitions.,75 | High Explosive | 25 | Fragmentation,,,,1.3
